idvente,idmagasin,idclient,datevente,satisfactionclient
v_151,m_21,c_30,2020-01-10,0
v_152,m_8,c_12,2020-01-10,0
v_153,m_2,c_67,2020-01-10,2
v_154,m_12,c_92,2020-01-11,4
v_155,m_5,c_42,2020-01-11,2
v_156,m_23,c_78,2020-01-11,0
v_157,m_8,c_63,2020-01-11,0
v_158,m_8,c_46,2020-01-11,4
v_159,m_13,c_37,2020-01-12,5
v_160,m_9,c_38,2020-01-12,0
v_161,m_21,c_63,2020-01-12,2
v_162,m_22,c_90,2020-01-13,0
v_163,m_1,c_93,2020-01-13,2
v_164,m_12,c_35,2020-01-13,3
v_165,m_21,c_11,2020-01-14,3
v_166,m_4,c_94,2020-01-14,3
v_167,m_6,c_84,2020-01-14,2
v_168,m_11,c_92,2020-01-14,1
v_169,m_11,c_98,2020-01-14,4
v_170,m_12,c_18,2020-01-14,3
v_171,m_2,c_3,2020-01-14,1
v_172,m_2,c_13,2020-01-14,0
v_173,m_23,c_56,2020-01-14,5
v_174,m_7,c_92,2020-01-14,1
v_175,m_6,c_88,2020-01-14,1
v_176,m_15,c_19,2020-01-14,1
v_177,m_17,c_63,2020-01-14,2
v_178,m_4,c_39,2020-01-14,4
v_179,m_2,c_71,2020-01-14,1
v_180,m_2,c_88,2020-01-14,0
v_181,m_17,c_7,2020-01-14,1
v_182,m_7,c_4,2020-01-14,5
v_183,m_21,c_61,2020-01-14,2
v_184,m_23,c_74,2020-01-15,3
v_185,m_14,c_16,2020-01-15,2
v_186,m_10,c_81,2020-01-15,3
v_187,m_16,c_66,2020-01-15,3
v_188,m_18,c_11,2020-01-15,4
v_189,m_15,c_35,2020-01-15,3
v_190,m_6,c_6,2020-01-15,3
v_191,m_22,c_53,2020-01-15,3
v_192,m_15,c_60,2020-01-16,3
v_193,m_5,c_79,2020-01-16,4
v_194,m_1,c_71,2020-01-16,2
v_195,m_12,c_63,2020-01-16,1
v_196,m_21,c_97,2020-01-16,0
v_197,m_7,c_15,2020-01-16,0
v_198,m_3,c_85,2020-01-16,2
v_199,m_16,c_51,2020-01-17,5
v_200,m_7,c_37,2020-01-17,1
v_201,m_17,c_65,2020-01-17,1
v_202,m_16,c_46,2020-01-17,3
v_203,m_5,c_11,2020-01-17,1
v_204,m_23,c_53,2020-01-17,3
v_205,m_21,c_52,2020-01-17,1
v_206,m_11,c_99,2020-01-18,4
v_207,m_16,c_1,2020-01-18,4
v_208,m_16,c_39,2020-01-18,0
v_209,m_7,c_40,2020-01-19,4
v_210,m_7,c_38,2020-01-19,1
v_211,m_11,c_23,2020-01-19,3
v_212,m_8,c_11,2020-01-19,2
v_213,m_21,c_42,2020-01-19,0
v_214,m_3,c_92,2020-01-19,3
v_215,m_8,c_87,2020-01-19,3
v_216,m_14,c_89,2020-01-19,3
v_217,m_22,c_84,2020-01-19,5
v_218,m_20,c_66,2020-01-19,1
v_219,m_7,c_65,2020-01-19,0
v_220,m_5,c_70,2020-01-19,4
v_221,m_14,c_4,2020-01-19,0
v_222,m_21,c_19,2020-01-19,4
v_223,m_1,c_67,2020-01-19,0
v_224,m_13,c_99,2020-01-19,1
v_225,m_3,c_67,2020-01-19,0
v_226,m_12,c_41,2020-01-19,4
v_227,m_21,c_52,2020-01-19,1
v_228,m_19,c_78,2020-01-19,3
v_229,m_19,c_79,2020-01-19,1
v_230,m_17,c_70,2020-01-19,1
v_231,m_17,c_78,2020-01-19,1
v_232,m_12,c_2,2020-01-19,2
v_233,m_10,c_12,2020-01-19,4
v_234,m_5,c_76,2020-01-19,5
v_235,m_23,c_29,2020-01-19,3
v_236,m_12,c_73,2020-01-19,2
v_237,m_10,c_10,2020-01-20,0
v_238,m_1,c_34,2020-01-20,4
v_239,m_16,c_92,2020-01-20,2
v_240,m_7,c_96,2020-01-20,4
v_241,m_16,c_21,2020-01-20,1
v_242,m_19,c_54,2020-01-20,3
v_243,m_6,c_42,2020-01-21,4
v_244,m_8,c_36,2020-01-21,1
v_245,m_22,c_55,2020-01-21,2
v_246,m_9,c_91,2020-01-21,0
v_247,m_12,c_77,2020-01-21,0
v_248,m_8,c_46,2020-01-21,4
v_249,m_3,c_82,2020-01-21,1
v_250,m_17,c_1,2020-01-21,4
v_251,m_18,c_73,2020-01-21,0
v_252,m_13,c_89,2020-01-21,1
v_253,m_21,c_11,2020-01-21,5
v_254,m_22,c_22,2020-01-21,1
v_255,m_10,c_22,2020-01-21,5
v_256,m_23,c_43,2020-01-21,1
v_257,m_3,c_4,2020-01-21,4
v_258,m_16,c_32,2020-01-21,2
v_259,m_15,c_25,2020-01-22,1
v_260,m_5,c_48,2020-01-23,1
v_261,m_9,c_44,2020-01-23,5
v_262,m_6,c_59,2020-01-23,2
v_263,m_15,c_45,2020-01-23,0
v_264,m_6,c_12,2020-01-23,3
v_265,m_11,c_88,2020-01-23,5
v_266,m_4,c_6,2020-01-23,4
v_267,m_9,c_25,2020-01-23,5
v_268,m_15,c_15,2020-01-23,5
v_269,m_7,c_78,2020-01-23,2
v_270,m_10,c_17,2020-01-23,5
v_271,m_8,c_41,2020-01-23,0
v_272,m_20,c_71,2020-01-23,3
v_273,m_8,c_41,2020-01-23,4
v_274,m_1,c_41,2020-01-23,0
v_275,m_10,c_90,2020-01-23,4
v_276,m_1,c_96,2020-01-23,4
v_277,m_21,c_17,2020-01-23,0
v_278,m_9,c_32,2020-01-23,3
v_279,m_8,c_28,2020-01-23,5
v_280,m_7,c_79,2020-01-23,0
v_281,m_12,c_71,2020-01-23,0
v_282,m_20,c_62,2020-01-23,4
v_283,m_5,c_51,2020-01-23,0
v_284,m_19,c_93,2020-01-23,3
v_285,m_12,c_42,2020-01-23,1
v_286,m_4,c_68,2020-01-24,3
v_287,m_15,c_70,2020-01-24,1
v_288,m_17,c_82,2020-01-24,0
v_289,m_1,c_62,2020-01-24,0
v_290,m_8,c_83,2020-01-24,5
v_291,m_17,c_53,2020-01-24,1
v_292,m_17,c_53,2020-01-24,2
v_293,m_3,c_33,2020-01-24,0
v_294,m_6,c_79,2020-01-24,2
v_295,m_23,c_17,2020-01-24,2
v_296,m_9,c_52,2020-01-25,3
v_297,m_16,c_11,2020-01-25,2
v_298,m_10,c_64,2020-01-25,2
v_299,m_15,c_45,2020-01-25,0
v_300,m_11,c_54,2020-01-25,5
v_301,m_17,c_93,2020-01-25,5
v_302,m_19,c_18,2020-01-25,5
v_303,m_20,c_79,2020-01-25,5
v_304,m_4,c_31,2020-01-25,0
v_305,m_12,c_65,2020-01-25,0
v_306,m_7,c_16,2020-01-25,3
v_307,m_18,c_48,2020-01-25,3
v_308,m_19,c_41,2020-01-25,3
v_309,m_14,c_41,2020-01-25,4
v_310,m_2,c_61,2020-01-25,1
v_311,m_18,c_80,2020-01-25,4
v_312,m_1,c_71,2020-01-25,1
v_313,m_7,c_82,2020-01-25,1
v_314,m_9,c_37,2020-01-26,2
v_315,m_3,c_38,2020-01-27,1
v_316,m_1,c_5,2020-01-27,3
v_317,m_12,c_46,2020-01-27,4
v_318,m_21,c_30,2020-01-27,2
v_319,m_20,c_84,2020-01-27,2
v_320,m_7,c_73,2020-01-27,4
v_321,m_14,c_38,2020-01-27,1
v_322,m_6,c_11,2020-01-27,2
v_323,m_1,c_65,2020-01-28,4
v_324,m_6,c_25,2020-01-28,0
v_325,m_16,c_100,2020-01-28,5
v_326,m_5,c_75,2020-01-28,1
v_327,m_7,c_72,2020-01-28,2
v_328,m_11,c_13,2020-01-28,2
v_329,m_5,c_88,2020-01-28,3
v_330,m_13,c_13,2020-01-28,4
v_331,m_15,c_52,2020-01-28,5
v_332,m_23,c_41,2020-01-28,3
v_333,m_3,c_23,2020-01-28,3
v_334,m_21,c_30,2020-01-28,0
v_335,m_9,c_14,2020-01-28,2
v_336,m_19,c_27,2020-01-28,1
v_337,m_5,c_52,2020-01-28,5
v_338,m_14,c_27,2020-01-28,0
v_339,m_9,c_65,2020-01-28,2
v_340,m_10,c_42,2020-01-28,3
v_341,m_10,c_83,2020-01-28,0
v_342,m_18,c_94,2020-01-28,2
v_343,m_5,c_54,2020-01-28,5
v_344,m_5,c_68,2020-01-29,3
v_345,m_15,c_68,2020-01-29,2
v_346,m_4,c_44,2020-01-29,4
v_347,m_8,c_83,2020-01-29,2
v_348,m_20,c_50,2020-01-29,3
v_349,m_8,c_52,2020-01-29,4
v_350,m_13,c_23,2020-01-29,5
v_351,m_17,c_65,2020-01-29,3
v_352,m_2,c_5,2020-01-29,3
v_353,m_8,c_38,2020-01-29,1
v_354,m_1,c_18,2020-01-29,5
v_355,m_18,c_92,2020-01-29,3
v_356,m_13,c_20,2020-01-29,3
v_357,m_11,c_74,2020-01-29,4
v_358,m_6,c_17,2020-01-29,3
v_359,m_6,c_43,2020-01-29,1
v_360,m_20,c_57,2020-01-29,4
v_361,m_3,c_86,2020-01-29,2
v_362,m_3,c_52,2020-01-29,5
v_363,m_23,c_8,2020-01-30,2
v_364,m_7,c_38,2020-01-30,5
v_365,m_12,c_69,2020-01-30,1
v_366,m_9,c_48,2020-01-30,5
v_367,m_15,c_36,2020-01-30,5
v_368,m_13,c_89,2020-01-30,2
v_369,m_15,c_89,2020-01-30,0
v_370,m_1,c_14,2020-01-30,5
v_371,m_17,c_28,2020-01-30,2
v_372,m_20,c_37,2020-01-30,0
v_373,m_19,c_17,2020-01-30,2
v_374,m_19,c_67,2020-01-30,5
v_375,m_17,c_48,2020-01-30,4
v_376,m_20,c_26,2020-01-30,3
v_377,m_6,c_45,2020-01-31,4
v_378,m_10,c_88,2020-01-31,4
v_379,m_3,c_8,2020-01-31,2
v_380,m_12,c_84,2020-01-31,3
v_381,m_5,c_65,2020-01-31,3
v_382,m_1,c_66,2020-01-31,2
v_383,m_6,c_24,2020-01-31,2
v_384,m_9,c_94,2020-02-01,1
v_385,m_9,c_27,2020-02-01,4
v_386,m_2,c_9,2020-02-01,4
v_387,m_1,c_76,2020-02-01,1
v_388,m_4,c_38,2020-02-01,4
v_389,m_21,c_60,2020-02-01,5
v_390,m_12,c_28,2020-02-01,2
v_391,m_22,c_58,2020-02-01,3
v_392,m_18,c_66,2020-02-01,4
v_393,m_3,c_32,2020-02-01,3
v_394,m_14,c_1,2020-02-01,4
v_395,m_8,c_52,2020-02-01,3
v_396,m_10,c_30,2020-02-01,1
v_397,m_2,c_51,2020-02-01,5
v_398,m_19,c_62,2020-02-01,5
v_399,m_5,c_68,2020-02-01,0
v_400,m_13,c_92,2020-02-01,1
v_401,m_16,c_71,2020-02-01,4
v_402,m_5,c_54,2020-02-01,1
v_403,m_18,c_2,2020-02-01,3
v_404,m_17,c_83,2020-02-01,0
v_405,m_18,c_26,2020-02-01,4
v_406,m_14,c_64,2020-02-01,3
v_407,m_23,c_19,2020-02-01,4
v_408,m_15,c_54,2020-02-01,2
v_409,m_15,c_20,2020-02-01,4
v_410,m_7,c_10,2020-02-01,5
v_411,m_20,c_95,2020-02-01,4
v_412,m_20,c_51,2020-02-02,3
v_413,m_21,c_34,2020-02-02,5
v_414,m_16,c_84,2020-02-02,0
v_415,m_5,c_26,2020-02-02,2
v_416,m_12,c_16,2020-02-02,3
v_417,m_12,c_39,2020-02-02,5
v_418,m_7,c_83,2020-02-02,1
v_419,m_10,c_37,2020-02-02,5
v_420,m_20,c_91,2020-02-02,3
v_421,m_15,c_57,2020-02-02,5
v_422,m_16,c_24,2020-02-02,1
v_423,m_5,c_29,2020-02-02,0
v_424,m_10,c_89,2020-02-02,5
v_425,m_11,c_82,2020-02-02,4
v_426,m_20,c_4,2020-02-02,1
v_427,m_14,c_53,2020-02-02,2
v_428,m_15,c_74,2020-02-02,3
v_429,m_5,c_41,2020-02-02,3
v_430,m_14,c_1,2020-02-02,2
v_431,m_12,c_78,2020-02-02,4
v_432,m_1,c_8,2020-02-02,5
v_433,m_17,c_73,2020-02-02,3
v_434,m_19,c_50,2020-02-02,0
v_435,m_13,c_98,2020-02-03,2
v_436,m_22,c_99,2020-02-03,1
v_437,m_17,c_16,2020-02-03,3
v_438,m_14,c_63,2020-02-03,2
v_439,m_9,c_18,2020-02-03,0
v_440,m_9,c_55,2020-02-03,1
v_441,m_15,c_54,2020-02-03,3
v_442,m_16,c_75,2020-02-03,1
v_443,m_10,c_62,2020-02-03,1
v_444,m_22,c_9,2020-02-03,2
v_445,m_1,c_40,2020-02-03,3
v_446,m_18,c_60,2020-02-03,3
v_447,m_15,c_28,2020-02-03,2
v_448,m_22,c_85,2020-02-03,0
v_449,m_8,c_31,2020-02-03,1
v_450,m_1,c_95,2020-02-03,0
v_451,m_3,c_13,2020-02-03,3
v_452,m_7,c_13,2020-02-03,3
v_453,m_23,c_1,2020-02-03,1
v_454,m_1,c_97,2020-02-03,1
v_455,m_2,c_54,2020-02-04,1
v_456,m_17,c_70,2020-02-04,1
v_457,m_23,c_48,2020-02-04,2
v_458,m_9,c_37,2020-02-04,5
v_459,m_18,c_61,2020-02-04,0
v_460,m_9,c_66,2020-02-04,2
v_461,m_12,c_13,2020-02-04,3
v_462,m_19,c_53,2020-02-04,1
v_463,m_13,c_86,2020-02-04,2
v_464,m_14,c_88,2020-02-04,4
v_465,m_19,c_62,2020-02-04,1
v_466,m_19,c_50,2020-02-04,5
v_467,m_15,c_29,2020-02-04,2
v_468,m_2,c_77,2020-02-04,5
v_469,m_22,c_82,2020-02-04,2
v_470,m_2,c_73,2020-02-04,3
v_471,m_4,c_43,2020-02-04,5
v_472,m_6,c_23,2020-02-04,4
v_473,m_15,c_49,2020-02-04,0
v_474,m_1,c_36,2020-02-04,4
v_475,m_12,c_15,2020-02-05,1
v_476,m_10,c_57,2020-02-05,1
v_477,m_13,c_24,2020-02-05,4
v_478,m_18,c_63,2020-02-05,1
v_479,m_20,c_50,2020-02-05,1
v_480,m_20,c_60,2020-02-05,5
v_481,m_11,c_69,2020-02-05,5
v_482,m_2,c_44,2020-02-05,5
v_483,m_1,c_85,2020-02-05,2
v_484,m_21,c_26,2020-02-05,3
v_485,m_10,c_11,2020-02-05,4
v_486,m_13,c_21,2020-02-05,5
v_487,m_10,c_39,2020-02-05,4
v_488,m_14,c_6,2020-02-05,4
v_489,m_18,c_38,2020-02-05,5
v_490,m_21,c_61,2020-02-05,3
v_491,m_13,c_56,2020-02-05,3
v_492,m_23,c_61,2020-02-05,4
v_493,m_7,c_23,2020-02-05,2
v_494,m_16,c_99,2020-02-05,2
v_495,m_12,c_96,2020-02-05,3
v_496,m_6,c_56,2020-02-05,5
v_497,m_21,c_29,2020-02-05,5
v_498,m_6,c_43,2020-02-05,2
v_499,m_20,c_91,2020-02-05,4
v_500,m_10,c_41,2020-02-06,4
v_501,m_18,c_36,2020-02-06,5
v_502,m_9,c_38,2020-02-06,3
v_503,m_14,c_24,2020-02-06,0
v_504,m_11,c_58,2020-02-06,0
v_505,m_9,c_5,2020-02-06,4
v_506,m_5,c_25,2020-02-06,3
v_507,m_7,c_84,2020-02-06,3
v_508,m_20,c_34,2020-02-06,3
v_509,m_23,c_70,2020-02-06,3
v_510,m_22,c_20,2020-02-06,2
v_511,m_11,c_38,2020-02-06,0
v_512,m_12,c_6,2020-02-07,3
v_513,m_12,c_39,2020-02-07,0
v_514,m_15,c_3,2020-02-07,3
v_515,m_14,c_46,2020-02-07,2
v_516,m_4,c_71,2020-02-07,4
v_517,m_1,c_83,2020-02-07,5
v_518,m_8,c_18,2020-02-07,3
v_519,m_19,c_63,2020-02-07,2
v_520,m_1,c_90,2020-02-07,4
v_521,m_11,c_21,2020-02-07,4
v_522,m_14,c_10,2020-02-07,2
v_523,m_19,c_17,2020-02-07,1
v_524,m_11,c_69,2020-02-07,5
v_525,m_6,c_73,2020-02-07,5
v_526,m_12,c_5,2020-02-07,2
v_527,m_22,c_54,2020-02-08,5
v_528,m_6,c_40,2020-02-09,1
v_529,m_2,c_95,2020-02-09,5
v_530,m_13,c_11,2020-02-09,0
v_531,m_4,c_86,2020-02-09,3
v_532,m_3,c_74,2020-02-09,4
v_533,m_19,c_28,2020-02-09,3
v_534,m_22,c_45,2020-02-09,2
v_535,m_16,c_86,2020-02-09,4
v_536,m_22,c_97,2020-02-09,1
v_537,m_19,c_41,2020-02-09,1
v_538,m_9,c_86,2020-02-09,3
v_539,m_3,c_46,2020-02-09,5
v_540,m_13,c_55,2020-02-09,4
v_541,m_5,c_24,2020-02-09,3
v_542,m_14,c_86,2020-02-09,3
v_543,m_13,c_15,2020-02-09,1
v_544,m_12,c_96,2020-02-09,2
v_545,m_13,c_76,2020-02-09,4
v_546,m_1,c_34,2020-02-09,1
v_547,m_15,c_19,2020-02-09,3
v_548,m_8,c_39,2020-02-09,2
v_549,m_9,c_14,2020-02-09,0
v_550,m_21,c_31,2020-02-09,2
v_551,m_22,c_65,2020-02-09,4
v_552,m_1,c_82,2020-02-09,1
v_553,m_21,c_31,2020-02-09,3
v_554,m_10,c_98,2020-02-10,1
v_555,m_16,c_35,2020-02-10,4
v_556,m_16,c_2,2020-02-10,1
v_557,m_12,c_16,2020-02-10,1
v_558,m_10,c_91,2020-02-10,4
v_559,m_10,c_41,2020-02-10,0
v_560,m_10,c_54,2020-02-10,4
v_561,m_10,c_12,2020-02-10,4
v_562,m_9,c_86,2020-02-10,5
v_563,m_3,c_26,2020-02-10,0
v_564,m_9,c_72,2020-02-10,4
v_565,m_16,c_53,2020-02-10,2
v_566,m_6,c_30,2020-02-10,5
v_567,m_5,c_10,2020-02-10,4
v_568,m_9,c_77,2020-02-10,3
v_569,m_1,c_75,2020-02-10,1
v_570,m_11,c_47,2020-02-10,1
v_571,m_3,c_13,2020-02-10,1
v_572,m_10,c_47,2020-02-10,4
v_573,m_9,c_71,2020-02-10,3
v_574,m_5,c_44,2020-02-10,2
v_575,m_17,c_80,2020-02-11,1
v_576,m_8,c_43,2020-02-11,0
v_577,m_1,c_70,2020-02-11,1
v_578,m_3,c_39,2020-02-11,3
v_579,m_3,c_27,2020-02-11,0
v_580,m_12,c_98,2020-02-11,3
v_581,m_12,c_76,2020-02-11,3
v_582,m_23,c_94,2020-02-11,0
v_583,m_11,c_30,2020-02-11,0
v_584,m_18,c_100,2020-02-11,3
v_585,m_5,c_14,2020-02-11,4
v_586,m_4,c_1,2020-02-11,4
v_587,m_9,c_48,2020-02-11,4
v_588,m_11,c_94,2020-02-11,0
v_589,m_13,c_5,2020-02-11,1
v_590,m_21,c_46,2020-02-11,2
v_591,m_9,c_18,2020-02-11,3
v_592,m_17,c_32,2020-02-11,2
v_593,m_9,c_15,2020-02-11,5
v_594,m_12,c_86,2020-02-11,1
v_595,m_7,c_98,2020-02-11,3
v_596,m_1,c_87,2020-02-11,2
v_597,m_9,c_2,2020-02-11,4
v_598,m_2,c_32,2020-02-11,2
v_599,m_7,c_98,2020-02-11,3
v_600,m_3,c_9,2020-02-11,0
v_601,m_15,c_16,2020-02-11,1
v_602,m_2,c_49,2020-02-11,5
v_603,m_16,c_96,2020-02-12,3
v_604,m_14,c_5,2020-02-12,1
v_605,m_8,c_84,2020-02-12,1
v_606,m_16,c_96,2020-02-12,2
v_607,m_17,c_70,2020-02-12,0
v_608,m_23,c_5,2020-02-13,5
v_609,m_4,c_75,2020-02-13,3
v_610,m_1,c_100,2020-02-13,3
v_611,m_6,c_61,2020-02-13,5
v_612,m_13,c_85,2020-02-13,2
v_613,m_9,c_99,2020-02-13,2
v_614,m_23,c_92,2020-02-13,0
v_615,m_9,c_62,2020-02-14,3
v_616,m_16,c_84,2020-02-14,4
v_617,m_15,c_55,2020-02-14,3
v_618,m_3,c_23,2020-02-14,3
v_619,m_15,c_36,2020-02-14,2
v_620,m_17,c_30,2020-02-14,1
v_621,m_6,c_63,2020-02-14,4
v_622,m_13,c_2,2020-02-14,3
v_623,m_6,c_84,2020-02-14,3
v_624,m_3,c_80,2020-02-14,3
v_625,m_17,c_17,2020-02-14,1
v_626,m_2,c_60,2020-02-14,0
v_627,m_15,c_11,2020-02-14,5
v_628,m_16,c_89,2020-02-14,0
v_629,m_10,c_50,2020-02-14,5
v_630,m_13,c_28,2020-02-14,0
v_631,m_20,c_6,2020-02-14,5
v_632,m_9,c_95,2020-02-14,5
v_633,m_14,c_81,2020-02-14,1
v_634,m_10,c_3,2020-02-14,2
v_635,m_2,c_68,2020-02-14,4
v_636,m_9,c_82,2020-02-15,4
v_637,m_4,c_87,2020-02-15,1
v_638,m_7,c_93,2020-02-15,3
v_639,m_8,c_7,2020-02-15,2
v_640,m_10,c_62,2020-02-15,4
v_641,m_9,c_27,2020-02-15,5
v_642,m_11,c_61,2020-02-15,2
v_643,m_12,c_22,2020-02-15,4
v_644,m_16,c_41,2020-02-15,2
v_645,m_16,c_83,2020-02-15,5
v_646,m_1,c_89,2020-02-15,0
v_647,m_16,c_58,2020-02-15,1
v_648,m_20,c_24,2020-02-15,5
v_649,m_10,c_69,2020-02-15,4
v_650,m_13,c_10,2020-02-15,2
v_651,m_4,c_45,2020-02-15,0
v_652,m_10,c_13,2020-02-15,0
v_653,m_10,c_96,2020-02-15,0
v_654,m_22,c_16,2020-02-15,2
v_655,m_7,c_100,2020-02-15,1
v_656,m_12,c_39,2020-02-16,2
v_657,m_16,c_27,2020-02-16,3
v_658,m_7,c_19,2020-02-16,2
v_659,m_19,c_24,2020-02-16,0
v_660,m_19,c_37,2020-02-16,2
v_661,m_2,c_68,2020-02-16,2
v_662,m_2,c_49,2020-02-16,0
v_663,m_20,c_56,2020-02-16,3
v_664,m_20,c_65,2020-02-16,1
