nbtot,nomcategorie,nommagasin,annee
40,adaptateur,Magasin Mexico,2020
40,adaptateur,Magasin Mexico,2021
44,adaptateur,Magasin Mexico,2022
53,adaptateur,Magasin Mexico,2023
35,adaptateur,Magasin Mexico,2024
212,adaptateur,Magasin Mexico,
44,adaptateur,Magasin New Delhi,2020
44,adaptateur,Magasin New Delhi,2021
56,adaptateur,Magasin New Delhi,2022
45,adaptateur,Magasin New Delhi,2023
38,adaptateur,Magasin New Delhi,2024
227,adaptateur,Magasin New Delhi,
37,adaptateur,Magasin Nigeria,2020
43,adaptateur,Magasin Nigeria,2021
54,adaptateur,Magasin Nigeria,2022
40,adaptateur,Magasin Nigeria,2023
52,adaptateur,Magasin Nigeria,2024
226,adaptateur,Magasin Nigeria,
39,adaptateur,Magasin Ottawa,2020
40,adaptateur,Magasin Ottawa,2021
39,adaptateur,Magasin Ottawa,2022
48,adaptateur,Magasin Ottawa,2023
38,adaptateur,Magasin Ottawa,2024
204,adaptateur,Magasin Ottawa,
43,adaptateur,Magasin Pékin,2020
33,adaptateur,Magasin Pékin,2021
36,adaptateur,Magasin Pékin,2022
39,adaptateur,Magasin Pékin,2023
39,adaptateur,Magasin Pékin,2024
190,adaptateur,Magasin Pékin,
41,adaptateur,Magasin Paris,2020
23,adaptateur,Magasin Paris,2021
36,adaptateur,Magasin Paris,2022
35,adaptateur,Magasin Paris,2023
34,adaptateur,Magasin Paris,2024
169,adaptateur,Magasin Paris,
41,adaptateur,Magasin Rome,2020
32,adaptateur,Magasin Rome,2021
50,adaptateur,Magasin Rome,2022
37,adaptateur,Magasin Rome,2023
44,adaptateur,Magasin Rome,2024
204,adaptateur,Magasin Rome,
41,adaptateur,Magasin San José,2020
49,adaptateur,Magasin San José,2021
44,adaptateur,Magasin San José,2022
52,adaptateur,Magasin San José,2023
52,adaptateur,Magasin San José,2024
238,adaptateur,Magasin San José,
37,adaptateur,Magasin Tokyo,2020
35,adaptateur,Magasin Tokyo,2021
45,adaptateur,Magasin Tokyo,2022
40,adaptateur,Magasin Tokyo,2023
53,adaptateur,Magasin Tokyo,2024
210,adaptateur,Magasin Tokyo,
39,adaptateur,Magasin Washington,2020
54,adaptateur,Magasin Washington,2021
49,adaptateur,Magasin Washington,2022
36,adaptateur,Magasin Washington,2023
48,adaptateur,Magasin Washington,2024
226,adaptateur,Magasin Washington,
4738,adaptateur,,
8,antenne,Magasin Alger,2020
8,antenne,Magasin Alger,2021
8,antenne,Magasin Alger,2022
5,antenne,Magasin Alger,2023
10,antenne,Magasin Alger,2024
39,antenne,Magasin Alger,
3,antenne,Magasin Amsterdam,2020
4,antenne,Magasin Amsterdam,2021
4,antenne,Magasin Amsterdam,2022
12,antenne,Magasin Amsterdam,2023
9,antenne,Magasin Amsterdam,2024
32,antenne,Magasin Amsterdam,
14,antenne,Magasin Ankara,2020
7,antenne,Magasin Ankara,2021
8,antenne,Magasin Ankara,2022
11,antenne,Magasin Ankara,2023
7,antenne,Magasin Ankara,2024
47,antenne,Magasin Ankara,
4,antenne,Magasin Bogota,2020
10,antenne,Magasin Bogota,2021
9,antenne,Magasin Bogota,2022
9,antenne,Magasin Bogota,2023
8,antenne,Magasin Bogota,2024
40,antenne,Magasin Bogota,
9,antenne,Magasin Brasilia,2020
9,antenne,Magasin Brasilia,2021
8,antenne,Magasin Brasilia,2022
10,antenne,Magasin Brasilia,2023
6,antenne,Magasin Brasilia,2024
42,antenne,Magasin Brasilia,
10,antenne,Magasin Copenhague,2020
10,antenne,Magasin Copenhague,2021
5,antenne,Magasin Copenhague,2022
6,antenne,Magasin Copenhague,2023
11,antenne,Magasin Copenhague,2024
42,antenne,Magasin Copenhague,
15,antenne,Magasin Dublin,2020
6,antenne,Magasin Dublin,2021
11,antenne,Magasin Dublin,2022
10,antenne,Magasin Dublin,2023
10,antenne,Magasin Dublin,2024
52,antenne,Magasin Dublin,
9,antenne,Magasin Jakarta,2020
8,antenne,Magasin Jakarta,2021
11,antenne,Magasin Jakarta,2022
5,antenne,Magasin Jakarta,2023
2,antenne,Magasin Jakarta,2024
35,antenne,Magasin Jakarta,
6,antenne,Magasin johannesbourg,2020
4,antenne,Magasin johannesbourg,2021
7,antenne,Magasin johannesbourg,2022
9,antenne,Magasin johannesbourg,2023
6,antenne,Magasin johannesbourg,2024
32,antenne,Magasin johannesbourg,
5,antenne,Magasin Lisbonne,2020
18,antenne,Magasin Lisbonne,2021
12,antenne,Magasin Lisbonne,2022
10,antenne,Magasin Lisbonne,2023
7,antenne,Magasin Lisbonne,2024
52,antenne,Magasin Lisbonne,
9,antenne,Magasin Londres,2020
15,antenne,Magasin Londres,2021
5,antenne,Magasin Londres,2022
13,antenne,Magasin Londres,2023
6,antenne,Magasin Londres,2024
48,antenne,Magasin Londres,
7,antenne,Magasin Madrid,2020
10,antenne,Magasin Madrid,2021
8,antenne,Magasin Madrid,2022
4,antenne,Magasin Madrid,2023
7,antenne,Magasin Madrid,2024
36,antenne,Magasin Madrid,
5,antenne,Magasin Melbourne,2020
6,antenne,Magasin Melbourne,2021
8,antenne,Magasin Melbourne,2022
9,antenne,Magasin Melbourne,2023
7,antenne,Magasin Melbourne,2024
35,antenne,Magasin Melbourne,
9,antenne,Magasin Mexico,2020
8,antenne,Magasin Mexico,2021
8,antenne,Magasin Mexico,2022
8,antenne,Magasin Mexico,2023
7,antenne,Magasin Mexico,2024
40,antenne,Magasin Mexico,
8,antenne,Magasin New Delhi,2020
7,antenne,Magasin New Delhi,2021
5,antenne,Magasin New Delhi,2022
8,antenne,Magasin New Delhi,2023
11,antenne,Magasin New Delhi,2024
39,antenne,Magasin New Delhi,
10,antenne,Magasin Nigeria,2020
9,antenne,Magasin Nigeria,2021
7,antenne,Magasin Nigeria,2022
6,antenne,Magasin Nigeria,2023
9,antenne,Magasin Nigeria,2024
41,antenne,Magasin Nigeria,
9,antenne,Magasin Ottawa,2020
7,antenne,Magasin Ottawa,2021
5,antenne,Magasin Ottawa,2022
6,antenne,Magasin Ottawa,2023
9,antenne,Magasin Ottawa,2024
36,antenne,Magasin Ottawa,
8,antenne,Magasin Pékin,2020
5,antenne,Magasin Pékin,2021
8,antenne,Magasin Pékin,2022
10,antenne,Magasin Pékin,2023
11,antenne,Magasin Pékin,2024
42,antenne,Magasin Pékin,
7,antenne,Magasin Paris,2020
12,antenne,Magasin Paris,2021
8,antenne,Magasin Paris,2022
7,antenne,Magasin Paris,2023
11,antenne,Magasin Paris,2024
45,antenne,Magasin Paris,
9,antenne,Magasin Rome,2020
8,antenne,Magasin Rome,2021
7,antenne,Magasin Rome,2022
7,antenne,Magasin Rome,2023
3,antenne,Magasin Rome,2024
34,antenne,Magasin Rome,
15,antenne,Magasin San José,2020
3,antenne,Magasin San José,2021
8,antenne,Magasin San José,2022
9,antenne,Magasin San José,2023
10,antenne,Magasin San José,2024
45,antenne,Magasin San José,
9,antenne,Magasin Tokyo,2020
11,antenne,Magasin Tokyo,2021
13,antenne,Magasin Tokyo,2022
9,antenne,Magasin Tokyo,2023
7,antenne,Magasin Tokyo,2024
49,antenne,Magasin Tokyo,
4,antenne,Magasin Washington,2020
8,antenne,Magasin Washington,2021
12,antenne,Magasin Washington,2022
9,antenne,Magasin Washington,2023
7,antenne,Magasin Washington,2024
40,antenne,Magasin Washington,
943,antenne,,
39,batterie,Magasin Alger,2020
42,batterie,Magasin Alger,2021
33,batterie,Magasin Alger,2022
36,batterie,Magasin Alger,2023
26,batterie,Magasin Alger,2024
176,batterie,Magasin Alger,
31,batterie,Magasin Amsterdam,2020
32,batterie,Magasin Amsterdam,2021
37,batterie,Magasin Amsterdam,2022
45,batterie,Magasin Amsterdam,2023
43,batterie,Magasin Amsterdam,2024
188,batterie,Magasin Amsterdam,
34,batterie,Magasin Ankara,2020
48,batterie,Magasin Ankara,2021
38,batterie,Magasin Ankara,2022
32,batterie,Magasin Ankara,2023
41,batterie,Magasin Ankara,2024
193,batterie,Magasin Ankara,
37,batterie,Magasin Bogota,2020
42,batterie,Magasin Bogota,2021
39,batterie,Magasin Bogota,2022
33,batterie,Magasin Bogota,2023
23,batterie,Magasin Bogota,2024
174,batterie,Magasin Bogota,
40,batterie,Magasin Brasilia,2020
35,batterie,Magasin Brasilia,2021
44,batterie,Magasin Brasilia,2022
49,batterie,Magasin Brasilia,2023
61,batterie,Magasin Brasilia,2024
229,batterie,Magasin Brasilia,
45,batterie,Magasin Copenhague,2020
34,batterie,Magasin Copenhague,2021
35,batterie,Magasin Copenhague,2022
28,batterie,Magasin Copenhague,2023
41,batterie,Magasin Copenhague,2024
183,batterie,Magasin Copenhague,
47,batterie,Magasin Dublin,2020
42,batterie,Magasin Dublin,2021
29,batterie,Magasin Dublin,2022
49,batterie,Magasin Dublin,2023
48,batterie,Magasin Dublin,2024
215,batterie,Magasin Dublin,
31,batterie,Magasin Jakarta,2020
59,batterie,Magasin Jakarta,2021
36,batterie,Magasin Jakarta,2022
47,batterie,Magasin Jakarta,2023
36,batterie,Magasin Jakarta,2024
209,batterie,Magasin Jakarta,
39,batterie,Magasin johannesbourg,2020
43,batterie,Magasin johannesbourg,2021
30,batterie,Magasin johannesbourg,2022
44,batterie,Magasin johannesbourg,2023
27,batterie,Magasin johannesbourg,2024
183,batterie,Magasin johannesbourg,
38,batterie,Magasin Lisbonne,2020
48,batterie,Magasin Lisbonne,2021
36,batterie,Magasin Lisbonne,2022
45,batterie,Magasin Lisbonne,2023
39,batterie,Magasin Lisbonne,2024
206,batterie,Magasin Lisbonne,
30,batterie,Magasin Londres,2020
38,batterie,Magasin Londres,2021
42,batterie,Magasin Londres,2022
33,batterie,Magasin Londres,2023
31,batterie,Magasin Londres,2024
174,batterie,Magasin Londres,
51,batterie,Magasin Madrid,2020
26,batterie,Magasin Madrid,2021
37,batterie,Magasin Madrid,2022
41,batterie,Magasin Madrid,2023
32,batterie,Magasin Madrid,2024
187,batterie,Magasin Madrid,
49,batterie,Magasin Melbourne,2020
34,batterie,Magasin Melbourne,2021
50,batterie,Magasin Melbourne,2022
42,batterie,Magasin Melbourne,2023
43,batterie,Magasin Melbourne,2024
218,batterie,Magasin Melbourne,
38,batterie,Magasin Mexico,2020
43,batterie,Magasin Mexico,2021
46,batterie,Magasin Mexico,2022
45,batterie,Magasin Mexico,2023
39,batterie,Magasin Mexico,2024
211,batterie,Magasin Mexico,
41,batterie,Magasin New Delhi,2020
43,batterie,Magasin New Delhi,2021
46,batterie,Magasin New Delhi,2022
55,batterie,Magasin New Delhi,2023
50,batterie,Magasin New Delhi,2024
235,batterie,Magasin New Delhi,
38,batterie,Magasin Nigeria,2020
44,batterie,Magasin Nigeria,2021
45,batterie,Magasin Nigeria,2022
25,batterie,Magasin Nigeria,2023
40,batterie,Magasin Nigeria,2024
192,batterie,Magasin Nigeria,
39,batterie,Magasin Ottawa,2020
41,batterie,Magasin Ottawa,2021
39,batterie,Magasin Ottawa,2022
35,batterie,Magasin Ottawa,2023
34,batterie,Magasin Ottawa,2024
188,batterie,Magasin Ottawa,
52,batterie,Magasin Pékin,2020
37,batterie,Magasin Pékin,2021
44,batterie,Magasin Pékin,2022
40,batterie,Magasin Pékin,2023
41,batterie,Magasin Pékin,2024
214,batterie,Magasin Pékin,
50,batterie,Magasin Paris,2020
38,batterie,Magasin Paris,2021
45,batterie,Magasin Paris,2022
35,batterie,Magasin Paris,2023
32,batterie,Magasin Paris,2024
200,batterie,Magasin Paris,
44,batterie,Magasin Rome,2020
39,batterie,Magasin Rome,2021
52,batterie,Magasin Rome,2022
42,batterie,Magasin Rome,2023
32,batterie,Magasin Rome,2024
209,batterie,Magasin Rome,
42,batterie,Magasin San José,2020
38,batterie,Magasin San José,2021
37,batterie,Magasin San José,2022
36,batterie,Magasin San José,2023
50,batterie,Magasin San José,2024
203,batterie,Magasin San José,
31,batterie,Magasin Tokyo,2020
28,batterie,Magasin Tokyo,2021
37,batterie,Magasin Tokyo,2022
46,batterie,Magasin Tokyo,2023
43,batterie,Magasin Tokyo,2024
185,batterie,Magasin Tokyo,
35,batterie,Magasin Washington,2020
40,batterie,Magasin Washington,2021
48,batterie,Magasin Washington,2022
39,batterie,Magasin Washington,2023
52,batterie,Magasin Washington,2024
214,batterie,Magasin Washington,
4586,batterie,,
109,cable,Magasin Alger,2020
112,cable,Magasin Alger,2021
107,cable,Magasin Alger,2022
122,cable,Magasin Alger,2023
78,cable,Magasin Alger,2024
528,cable,Magasin Alger,
92,cable,Magasin Amsterdam,2020
130,cable,Magasin Amsterdam,2021
109,cable,Magasin Amsterdam,2022
110,cable,Magasin Amsterdam,2023
103,cable,Magasin Amsterdam,2024
544,cable,Magasin Amsterdam,
105,cable,Magasin Ankara,2020
92,cable,Magasin Ankara,2021
92,cable,Magasin Ankara,2022
85,cable,Magasin Ankara,2023
107,cable,Magasin Ankara,2024
481,cable,Magasin Ankara,
99,cable,Magasin Bogota,2020
153,cable,Magasin Bogota,2021
106,cable,Magasin Bogota,2022
104,cable,Magasin Bogota,2023
111,cable,Magasin Bogota,2024
573,cable,Magasin Bogota,
116,cable,Magasin Brasilia,2020
103,cable,Magasin Brasilia,2021
117,cable,Magasin Brasilia,2022
76,cable,Magasin Brasilia,2023
99,cable,Magasin Brasilia,2024
511,cable,Magasin Brasilia,
94,cable,Magasin Copenhague,2020
89,cable,Magasin Copenhague,2021
86,cable,Magasin Copenhague,2022
90,cable,Magasin Copenhague,2023
104,cable,Magasin Copenhague,2024
463,cable,Magasin Copenhague,
92,cable,Magasin Dublin,2020
98,cable,Magasin Dublin,2021
120,cable,Magasin Dublin,2022
120,cable,Magasin Dublin,2023
103,cable,Magasin Dublin,2024
533,cable,Magasin Dublin,
108,cable,Magasin Jakarta,2020
108,cable,Magasin Jakarta,2021
107,cable,Magasin Jakarta,2022
99,cable,Magasin Jakarta,2023
105,cable,Magasin Jakarta,2024
527,cable,Magasin Jakarta,
115,cable,Magasin johannesbourg,2020
91,cable,Magasin johannesbourg,2021
95,cable,Magasin johannesbourg,2022
99,cable,Magasin johannesbourg,2023
97,cable,Magasin johannesbourg,2024
497,cable,Magasin johannesbourg,
94,cable,Magasin Lisbonne,2020
123,cable,Magasin Lisbonne,2021
93,cable,Magasin Lisbonne,2022
105,cable,Magasin Lisbonne,2023
111,cable,Magasin Lisbonne,2024
526,cable,Magasin Lisbonne,
110,cable,Magasin Londres,2020
101,cable,Magasin Londres,2021
94,cable,Magasin Londres,2022
91,cable,Magasin Londres,2023
88,cable,Magasin Londres,2024
484,cable,Magasin Londres,
94,cable,Magasin Madrid,2020
72,cable,Magasin Madrid,2021
100,cable,Magasin Madrid,2022
81,cable,Magasin Madrid,2023
87,cable,Magasin Madrid,2024
